,all stations
99,-0.00022175903945
100,-0.000515073852198
101,-0.000168207838106
102,-8.06420223447e-05
103,-0.000246014261871
104,-4.48402508147e-05
105,-8.55727893281e-06
106,-0.000217195126189
107,-0.000194874414433
108,-8.54498486025e-05
109,0.000107765239598
110,0.000429629980535
111,0.000173148990904
112,-4.75457930608e-05
113,-0.000185612304021
114,-7.53025389587e-05
115,0.000499321523232
116,0.000108345620089
117,-8.22268615683e-05
118,-0.000238703077549
119,-0.000185055924697
120,0.00571627107004
121,-4.43291672934e-05
122,-1.6324420154e-05
123,-1.29236443859e-05
124,-5.77492727255e-06
125,2.70487258558e-05
126,1.6255443762e-05
127,-6.73979896848e-06
128,-1.19135616538e-05
129,-1.58229460466e-05
130,-7.52268678787e-05
131,-3.56486113941e-05
132,-1.71743850264e-05
133,-1.29623092052e-05
134,-3.97606158911e-05
135,-0.000166788549142
136,-8.95748831222e-05
137,-0.000258552660232
138,-4.15204158461e-05
139,-7.51406281049e-06
140,0.00312364630851
141,-5.87978873537e-05
142,-3.70899921782e-05
143,2.62104288214e-05
144,0.000248427020438
145,0.000137241607585
146,5.64690833167e-05
147,-1.80830623923e-05
148,-3.09064955554e-05
149,0.000131702859489
150,0.000109870862814
151,-4.7475061508e-05
152,1.32688400359e-05
153,9.6971727422e-05
154,0.000344908818433
155,-0.000670912785712
156,-0.00184834895425
157,-8.52326797313e-06
158,-1.09380636423e-06
159,-1.10360537654e-05
160,-1.64291674968e-05
161,0.000356379925037
162,0.00068050895859
163,0.000349574199932
164,9.63225842214e-05
165,-5.20524555896e-05
166,-0.00010019443453
167,-0.000184131054955
168,-0.000154088523027
169,8.24622076331e-06
170,-2.63775580457e-05
171,-0.00312216295279
172,-0.00191684028328
173,2.49138614902e-06
174,-2.54096894876e-05
175,0.00796601346607
176,-2.52234357043e-06
177,9.7356643006e-05
178,0.000610284301474
179,0.00320021769082
180,0.000202774224554
181,7.31361388118e-06
182,-4.75848881084e-05
183,-0.00211734224757
184,-0.00127115525909
185,-0.000705415741999
186,-1.83551133216e-05
187,-3.32409526493e-06
188,-1.0984798936e-05
189,-1.67027387803e-05
190,0.000293368113398
191,-9.84693991187e-05
192,-6.98491710551e-05
193,0.000219985127117
194,-0.000204236161965
195,-0.000100292959482
196,-2.51877603745e-05
197,-1.25022994835e-05
198,-3.55582098382e-05
199,-0.000371367740599
200,-8.13147581403e-05
201,3.50111071715e-06
202,-0.000403499079575
203,-1.49810672428e-06
204,1.49216949563e-06
205,-1.05273540042e-05
206,-1.91612529755e-05
207,1.39986382925e-05
208,2.16600460936e-05
209,-2.76755921641e-06
210,-1.61579591753e-05
211,-3.21874625214e-05
212,-0.000219455214797
213,-0.000132005328208
214,-6.56897605638e-05
215,2.078941597e-05
216,-0.00562058319502
217,0.000527117803136
218,0.000223162580109
219,1.79919280542e-05
220,7.07424359553e-06
221,0.000101081451493
222,-0.000434064692167
223,-5.80953495616e-05
224,-1.58938260251e-05
225,0.000218745532286
226,4.55285436155e-05
227,0.000378715449902
228,0.000167856469812
229,0.000357665855499
230,4.70715713785e-05
231,-5.7041005117e-05
232,-0.0001557294231
233,-4.23909043782e-05
234,0.00516304285375
235,-0.00336004093059
236,0.00992811653828
237,0.00364093698506
238,-2.18972499075e-06
239,7.56797498419e-07
240,-1.10907073333e-05
241,-1.67036048091e-05
242,4.97159165779e-05
243,1.84311091082e-05
244,-4.99657247494e-06
245,-1.2493016703e-05
246,-1.69218148046e-05
247,0.000336180351897
248,-5.79314470676e-05
249,4.30466686935e-05
250,-3.0041428054e-05
251,0.000417022777497
252,0.000149915616065
253,4.94855526742e-06
254,-2.95446971343e-05
255,-0.00100551103672
256,0.000302626099651
257,9.72935093327e-05
258,-3.0730996965e-05
259,-0.000123755735927
260,-0.000219037048833
261,0.000326813828435
262,2.55430903008e-05
263,-4.86655655701e-05
264,-0.000163282758496
265,-0.00010159015583
266,0.0255890817177
267,-0.00044282497969
268,1.89520405669e-05
269,-0.00129161909832
270,-1.47916725579e-05
271,-1.02754495382e-05
272,-7.33558517496e-06
273,4.99290472622e-05
274,-0.000106158848086
275,-0.000831183403361
276,-0.000234242896513
277,-0.000379956019454
278,-9.9172949989e-05
279,2.89121091707e-05
280,0.000302764727193
281,-0.00174658276606
282,-3.0990571994e-05
283,-1.37230593456e-05
284,-1.292120964e-05
285,-3.31719387936e-06
286,-0.000826070348931
287,-0.000502103142427
288,-0.000356800875458
289,-0.00019154153911
290,0.000503458636619
291,0.000256566940145
292,-0.000278470675219
293,-0.000143469330379
294,-4.7047601172e-05
295,-8.6956514731e-06
296,-8.0172429375e-06
297,-0.000165715164634
298,-0.000165389277672
299,-3.44518635987e-05
300,-1.20035814232e-05
301,-1.22066258823e-05
302,-9.05569942067e-06
303,6.30328190837e-06
304,6.14959199718e-06
305,-7.87030113666e-06
306,-1.22037104518e-05
307,-1.49735266965e-05
308,-0.000594686139533
309,-5.23267015095e-05
310,0.00163556622457
311,0.00405742973712
312,-0.00483905540409
313,-0.00301721164506
314,5.3509492624e-05
315,-2.15913311535e-05
316,1.12150984171e-05
317,-0.000237625742997
318,-1.21585058769e-05
319,-2.63716375357e-05
320,-0.00015743926615
321,-0.000102366083739
322,-4.20724761708e-05
323,3.75451743368e-05
324,-7.17034428589e-05
325,-2.06966040521e-05
326,2.209158705e-06
327,5.30276274834e-05
328,0.000156449992579
329,0.000181375961176
330,-8.32790151939e-06
331,-3.39376127284e-05
332,-0.000133112269479
333,-5.09012321875e-05
334,-0.00190111825132
335,-0.00108417809715
