,all stations
180,6.13231251455e-08
181,1.30275442719e-07
182,4.04087976886e-07
183,3.61658740597e-07
184,-1.99397864782e-08
185,1.0066930963e-07
186,7.8938625287e-07
187,2.02139106492e-06
188,1.38129055583e-06
189,6.04588997546e-07
190,3.72457516683e-07
191,3.68412067381e-08
192,5.6157960874e-08
193,-1.66357652271e-05
194,1.84958402955e-07
195,3.57957734274e-08
196,-1.52380610159e-07
197,1.32993337111e-07
198,6.61090015109e-09
199,2.13337225035e-06
200,7.14294004842e-06
201,1.35758341916e-05
202,4.88892591627e-08
203,-7.99771231253e-07
204,1.10667978346e-06
205,3.03134191047e-06
206,6.66629616922e-06
207,-6.53700497491e-08
208,-1.44843431925e-07
209,3.0885009383e-07
210,1.25392827505e-06
211,1.62867017704e-06
212,2.3175868489e-07
213,3.07681959279e-07
214,-2.1471430855e-07
215,-2.24812730948e-07
216,-8.05410472351e-07
217,4.3271208525e-07
218,-7.13659844055e-08
219,6.21945146084e-06
220,2.28607633543e-06
221,5.49362431736e-05
222,3.59429021493e-07
223,4.67041574247e-08
224,1.07210246937e-06
225,-2.4176834599e-05
226,3.00955782423e-07
227,-1.01710992868e-06
228,9.65221097472e-07
229,6.3411646416e-06
230,1.14070432643e-07
231,-6.61552609655e-09
232,5.87378245378e-08
233,2.17234068154e-07
234,-1.2056290577e-06
235,-2.83762068108e-07
236,-4.19827313279e-06
237,-2.25523531761e-06
238,-5.21121916196e-07
239,7.26022793725e-07
240,1.63740550866e-06
241,1.5077766527e-06
242,8.22796961081e-07
243,3.23683325522e-07
244,1.83414541222e-07
245,-3.85446819262e-08
246,1.24325925299e-07
247,1.65868103815e-05
248,8.73634905302e-06
249,3.21079631446e-08
250,3.82054528683e-07
251,-1.06262970354e-05
252,-2.41290926107e-07
253,-1.48910299863e-06
254,2.66487105651e-06
255,7.05879540059e-06
256,1.64419868216e-05
257,5.78054081342e-07
258,-2.67209995443e-07
259,-9.12317029781e-06
260,-2.3299993071e-05
261,-3.71301443273e-05
262,-3.49128955485e-07
263,8.70141899762e-08
264,4.46260745413e-07
265,1.80262865306e-06
266,2.41866435943e-06
267,-7.44838613791e-07
268,3.62230459694e-06
269,-6.56784836619e-06
270,-1.69308181347e-07
271,-1.57684188523e-07
272,1.21396919084e-06
273,2.2390278702e-05
274,4.30285802292e-06
275,-4.54935912573e-05
276,0.000129544149023
277,1.83756471578e-07
278,4.70612808315e-09
279,6.02584609021e-08
280,2.22225337362e-07
281,-2.09260596397e-07
282,1.08281803876e-06
283,3.46517711695e-07
284,-1.26632795635e-05
285,-1.06620226733e-06
286,-2.63217467203e-07
287,1.36858303509e-06
288,5.80132592617e-07
289,1.96434621427e-07
290,-4.37213688474e-07
291,-1.38605164366e-06
292,1.65438719624e-06
293,6.81751926087e-07
294,7.36536369486e-08
295,7.80151808029e-08
296,4.31912540049e-07
297,5.76614264092e-07
298,9.70785455083e-08
299,1.63907206479e-08
300,2.12572531928e-06
301,8.84336386968e-07
302,3.748213943e-08
303,-2.67615244661e-07
304,4.69441923911e-07
305,1.38549803951e-07
306,4.23441650296e-07
307,1.34872664504e-06
308,8.17391501574e-07
309,2.3789464314e-05
310,1.15761862479e-05
311,-1.92856357059e-05
312,6.58127750912e-08
313,-1.97361046755e-08
314,7.39495502559e-08
315,2.67123398459e-07
316,5.4499948365e-08
317,-7.6744071618e-08
318,8.62114908689e-08
319,3.73079309522e-07
320,7.83457997191e-07
321,8.13862635048e-07
322,1.840573734e-07
323,3.89205820788e-08
324,4.40082355734e-07
325,1.40945881995e-06
326,1.20143311608e-05
327,2.0623209474e-06
328,-1.44490260773e-05
329,-2.31758603359e-05
330,-3.09643129406e-06
331,-1.40075928299e-06
332,-1.40694085476e-07
333,-1.96631636303e-08
334,-2.36997475583e-07
335,6.90071260101e-07
336,6.19348612587e-08
337,8.64479516786e-08
338,-1.18407124037e-06
339,-2.95129089814e-07
340,3.43309669235e-08
341,9.31002259666e-06
342,7.93809205361e-08
343,5.14603286589e-09
344,2.26622583012e-06
345,9.65112442092e-07
346,2.18847316218e-06
347,5.06684770135e-06
348,-1.1769630922e-06
349,-4.77943561723e-07
350,5.87011662027e-07
351,1.4552025392e-06
352,-1.19425298447e-06
353,-1.18862272923e-07
354,5.48918522259e-07
355,1.80262091268e-06
356,2.12441214356e-06
357,-3.83539345293e-07
358,6.93251797301e-06
359,-3.28370264656e-06
360,1.94566762373e-06
361,3.45401951486e-07
362,2.62790832627e-07
363,-1.10287908511e-06
364,-7.64994961141e-08
365,4.89720435741e-07
366,6.57664648521e-08
367,-1.60076308558e-08
368,5.72154316807e-08
369,2.22230780849e-07
370,-2.00845658055e-07
371,-6.21092477032e-08
372,7.00610820179e-08
373,1.64991214265e-07
374,4.3214235657e-07
375,-2.27686524075e-06
376,-1.86511476345e-06
377,9.38487357141e-09
378,-9.12176367166e-08
379,1.3756458534e-07
380,-2.23876043693e-06
381,-7.75544141901e-07
382,3.22289582899e-08
383,4.44949324284e-07
384,-8.84501614804e-06
385,-2.00850959605e-07
386,1.07080273776e-05
387,1.89073456187e-06
388,-5.30038718914e-07
389,1.10688981575e-06
390,2.65711572777e-06
391,7.57245367015e-06
392,-8.26472966524e-07
393,-2.66977752721e-07
394,4.98650933657e-07
395,1.92482301269e-06
396,3.94620608143e-06
397,-1.03625129601e-06
398,-2.33488320614e-08
399,4.57903792446e-07
400,1.86311009004e-06
401,2.50525042202e-06
402,1.30185627677e-06
